date,shift,feed_fe_pct,feed_sio2_pct,feed_al2o3_pct,feed_loi_pct,minus_10micron_pct,minus_45micron_pct,minus_150micron_pct,concentrate_fe_pct,concentrate_sio2_pct
2025-11-15,B,56.01888111888112,9.58,4.23,4.32,11.41405098916497,47.87462038949732,95.33333333333333,61.21398601398602,7.12
2025-11-15,C,55.27132867132868,10.37,4.72,4.05,11.41405098916497,47.87462038949732,95.33333333333333,61.95244755244757,6.15
2025-11-16,A,54.69720279720281,11.26,5.24,3.94,11.28203551012655,49.3978005049278,94.0,62.05104895104895,6.09
2025-11-16,B,55.17762237762238,10.9,4.64,3.87,11.28203551012655,49.3978005049278,94.0,62.52027972027973,5.56
2025-11-16,C,55.41258741258742,9.75,5.04,4.4,11.28203551012655,49.3978005049278,94.0,61.45734265734266,6.7
2025-11-17,A,54.96223776223777,9.16,4.72,4.97,11.61096399150022,47.17402040792704,96.0,60.65104895104896,6.0
2025-11-17,B,55.97622377622378,9.09,4.13,4.53,11.61096399150022,47.17402040792704,96.0,62.55734265734267,5.42
2025-11-17,C,55.31608391608392,9.8,4.52,4.37,11.61096399150022,47.17402040792704,96.0,60.0,6.78
2025-11-18,A,55.24685314685316,9.51,4.85,4.71,10.80099388097309,47.32301494511412,94.0,62.62,4.7
2025-11-18,B,54.97552447552449,9.38,5.3,4.86,10.80099388097309,47.32301494511412,94.0,63.01888111888113,4.52
2025-11-18,C,55.8888111888112,9.04,4.23,4.41,10.80099388097309,47.32301494511412,94.0,62.86083916083917,4.84
2025-11-19,A,56.14615384615386,8.84,3.61,5.19,8.467656578656323,46.03165381219418,94.66666666666667,61.51818181818182,6.73
2025-11-19,B,55.9006993006993,9.16,4.1,4.64,8.467656578656323,46.03165381219418,94.66666666666667,62.22237762237763,6.12
2025-11-19,C,54.63706293706294,10.7,4.85,4.36,8.467656578656323,46.03165381219418,94.66666666666667,61.94475524475525,6.06
2025-11-20,A,55.46783216783219,9.96,4.22,4.63,10.31589035700141,46.79117460679817,93.66666666666667,61.96573426573427,6.27
2025-11-20,B,55.88041958041958,9.69,4.59,4.3,10.31589035700141,46.79117460679817,93.66666666666667,62.5832167832168,5.25
2025-11-20,C,55.44965034965035,9.91,5.13,4.35,10.31589035700141,46.79117460679817,93.66666666666667,62.4979020979021,5.33
2025-11-21,A,54.30979020979022,11.4,5.19,4.33,11.21581641685273,47.53245379142628,94.0,59.57132867132868,8.01
2025-11-21,B,54.14685314685315,10.72,5.4,4.9,11.21581641685273,47.53245379142628,94.0,62.33566433566434,5.33
